City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Upernavik,GL,2022-02-01 20:11:39,72.7868,-56.1549,-16.33,75,100,6.26
68,Ostrovnoy,RU,2022-02-01 20:11:58,68.0531,39.5131,16.12,94,100,4.43
69,Esperance,AU,2022-02-01 20:11:59,-33.8667,121.9,61.5,67,52,16.24
70,Provideniya,RU,2022-02-01 20:11:59,64.3833,-173.3,9.01,65,5,24.05
71,Gizo,SB,2022-02-01 20:11:59,-8.103,156.8419,82.17,79,96,8.39
72,Lorengau,PG,2022-02-01 20:12:00,-2.0226,147.2712,78.55,80,100,3.76
73,Owando,CG,2022-02-01 20:12:00,-0.4819,15.8999,81.63,40,100,2.86
74,Progreso,MX,2022-02-01 20:12:00,21.2833,-89.6667,84.31,53,7,10.45
75,Tuktoyaktuk,CA,2022-02-01 20:12:00,69.4541,-133.0374,-6.12,97,100,6.76
76,Colombia,CU,2022-02-01 20:12:01,20.9881,-77.4297,74.12,56,98,15.48
77,Bilibino,RU,2022-02-01 20:12:01,68.0546,166.4372,5.59,65,100,5.68
78,Vardo,NO,2022-02-01 20:12:01,70.3705,31.1107,24.78,80,0,6.91
79,Busselton,AU,2022-02-01 20:12:02,-33.65,115.3333,61.05,66,29,18.72
80,Severodvinsk,RU,2022-02-01 20:12:02,64.5635,39.8302,10.51,95,100,7.61
81,Mayo,US,2022-02-01 20:12:02,38.8876,-76.5119,44.87,62,0,3.0
82,Cherskiy,RU,2022-02-01 20:12:03,68.75,161.3,-5.49,80,92,4.32
83,Kruisfontein,ZA,2022-02-01 20:12:03,-34.0033,24.7314,74.88,71,99,4.72
84,Jamestown,US,2022-02-01 20:08:46,42.097,-79.2353,42.39,48,0,17.27
85,Narsaq,GL,2022-02-01 20:12:03,60.9167,-46.05,17.82,89,63,3.38
86,Guiratinga,BR,2022-02-01 20:12:04,-16.3494,-53.7583,75.63,88,93,5.46
87,La Ronge,CA,2022-02-01 20:12:04,55.1001,-105.2842,-6.32,84,100,12.15
88,Lavrentiya,RU,2022-02-01 20:12:04,65.5833,-171.0,0.54,76,6,16.84
89,Sulangan,PH,2022-02-01 20:11:36,11.1373,123.7228,79.86,78,100,12.01
90,Saint George,US,2022-02-01 20:11:01,37.1041,-113.5841,54.07,24,0,1.01
91,Alofi,NU,2022-02-01 20:12:05,-19.0595,-169.9187,80.49,74,40,4.61
92,Broken Hill,AU,2022-02-01 20:13:05,-31.95,141.4333,59.16,55,100,22.86
93,Hilo,US,2022-02-01 20:10:42,19.7297,-155.09,78.24,81,20,10.36
94,Traverse City,US,2022-02-01 20:13:06,44.7631,-85.6206,46.51,53,20,16.11
95,Port Macquarie,AU,2022-02-01 20:13:06,-31.4333,152.9167,75.88,85,100,8.37
96,Saint-Martin-De-Crau,FR,2022-02-01 20:13:06,43.6395,4.8127,49.78,61,0,26.46
97,Muisne,EC,2022-02-01 20:13:07,0.6,-80.0333,80.71,77,68,9.13
98,Byron Bay,AU,2022-02-01 20:08:15,-28.65,153.6167,80.55,86,100,3.6
99,Hanzhong,CN,2022-02-01 20:13:07,33.0728,107.0303,35.96,95,100,3.44
100,Wonthaggi,AU,2022-02-01 20:13:07,-38.6044,145.5913,59.72,59,92,14.94
101,Ponta Do Sol,PT,2022-02-01 20:13:08,32.6667,-17.1,65.03,72,22,11.25
102,Paungde,MM,2022-02-01 20:13:08,18.4833,95.5,56.44,42,6,2.59
103,Erenhot,CN,2022-02-01 20:13:08,43.6475,111.9767,-0.36,88,3,5.21
104,Meulaboh,ID,2022-02-01 20:12:53,4.1363,96.1285,75.31,89,96,5.19
105,Churapcha,RU,2022-02-01 20:13:09,62.0025,132.4325,-21.15,98,100,3.02
106,Pinega,RU,2022-02-01 20:13:09,64.7001,43.3936,8.65,96,100,5.86
107,Hay River,CA,2022-02-01 20:13:09,60.8156,-115.7999,-13.54,91,77,9.06
108,Tuatapere,NZ,2022-02-01 20:13:10,-46.1333,167.6833,69.82,82,100,7.16
109,Kirakira,SB,2022-02-01 20:13:10,-10.4544,161.9205,79.61,84,88,3.98
110,Paamiut,GL,2022-02-01 20:13:10,61.994,-49.6678,15.37,76,100,13.89
111,Port Elizabeth,ZA,2022-02-01 20:13:11,-33.918,25.5701,77.09,76,100,3.98
112,Bathsheba,BB,2022-02-01 20:13:11,13.2167,-59.5167,84.81,61,20,14.97
113,Tsimlyansk,RU,2022-02-01 20:13:11,47.6461,42.1019,32.94,96,100,7.47
114,Victoria,HK,2022-02-01 20:12:57,22.2855,114.1577,60.94,91,100,3.0
115,Sakata,JP,2022-02-01 20:13:12,38.9167,139.855,35.74,70,100,23.29
116,Kavieng,PG,2022-02-01 20:13:12,-2.5744,150.7967,78.57,83,100,7.47
117,Brokopondo,SR,2022-02-01 20:13:13,4.75,-55.1667,80.44,79,90,7.87
118,Changji,CN,2022-02-01 20:13:13,44.0167,87.3167,2.19,85,40,2.24
119,Abha,SA,2022-02-01 20:13:13,18.2164,42.5053,55.65,77,0,0.0
120,Tucuman,AR,2022-02-01 20:13:14,-26.8241,-65.2226,93.2,38,0,5.75
121,Arraial Do Cabo,BR,2022-02-01 20:13:14,-22.9661,-42.0278,78.66,89,75,9.22
122,Barrow,US,2022-02-01 20:13:14,71.2906,-156.7887,-16.58,69,0,8.05
123,Tiksi,RU,2022-02-01 20:13:14,71.6872,128.8694,-14.57,100,100,4.38
124,Nome,US,2022-02-01 20:10:25,64.5011,-165.4064,21.27,53,0,27.63
125,Bereda,ES,2022-02-01 20:13:15,43.2686,-7.5406,48.92,97,1,4.38
126,Kailua,US,2022-02-01 20:13:15,21.4022,-157.7394,78.78,70,40,9.22
127,La Libertad,EC,2022-02-01 20:13:15,-2.2333,-80.9,78.08,72,86,9.71
128,Port-Cartier,CA,2022-02-01 20:13:16,50.0334,-66.8654,5.95,80,100,3.13
129,Baghdad,IQ,2022-02-01 20:08:50,33.3406,44.4009,46.31,87,0,3.44
130,Mar Del Plata,AR,2022-02-01 20:13:16,-38.0023,-57.5575,84.87,45,0,17.0
