City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
51,Asau,RO,46.4333,26.4,20.32,90,24,6.04,few clouds,2022-02-04 02:51:00
52,Arraial Do Cabo,BR,-22.9661,-42.0278,75.38,91,100,9.24,overcast clouds,2022-02-04 02:51:00
53,Ushuaia,AR,-54.8,-68.3,42.46,70,75,23.02,broken clouds,2022-02-04 02:51:01
54,Mar Del Plata,AR,-38.0023,-57.5575,70.09,94,100,0.0,fog,2022-02-04 02:47:34
55,Andenes,NO,69.3143,16.1194,22.98,68,100,32.21,overcast clouds,2022-02-04 02:51:01
56,Reforma,MX,18.1,-91.0167,76.01,65,6,6.87,clear sky,2022-02-04 02:51:02
57,Ahipara,NZ,-35.1667,173.1667,77.23,69,66,14.2,broken clouds,2022-02-04 02:51:02
58,Nuuk,GL,64.1835,-51.7216,10.92,95,100,7.58,light snow,2022-02-04 02:51:02
59,Sovetskiy,RU,61.3614,63.5842,14.99,97,99,3.76,overcast clouds,2022-02-04 02:47:59
60,Tuatapere,NZ,-46.1333,167.6833,51.82,92,100,4.68,heavy intensity rain,2022-02-04 02:51:03
61,Hofn,IS,64.2539,-15.2082,28.96,57,100,20.58,overcast clouds,2022-02-04 02:51:03
62,Jitra,MY,6.2681,100.4217,82.29,74,20,7.0,few clouds,2022-02-04 02:51:03
63,Plettenberg Bay,ZA,-34.0527,23.3716,63.48,81,100,5.48,light rain,2022-02-04 02:51:04
64,Khatanga,RU,71.9667,102.5,-32.01,100,90,4.41,overcast clouds,2022-02-04 02:49:02
65,Hoi An,VN,15.8794,108.335,73.36,80,100,5.77,overcast clouds,2022-02-04 02:51:04
66,Severo-Kurilsk,RU,50.6789,156.125,31.12,90,100,10.83,light snow,2022-02-04 02:46:23
67,Labuhan,ID,-6.8844,112.2051,83.82,72,86,5.3,overcast clouds,2022-02-04 02:51:05
68,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.69,75,93,8.95,overcast clouds,2022-02-04 02:51:05
69,Amur,RU,54.0,128.0,-6.92,76,100,8.23,overcast clouds,2022-02-04 02:51:05
70,Vostok,RU,46.4856,135.8833,1.51,84,99,5.03,overcast clouds,2022-02-04 02:51:05
71,Rajpipla,IN,21.8667,73.5,64.35,28,3,2.35,clear sky,2022-02-04 02:51:06
72,Albany,US,42.6001,-73.9662,38.48,91,100,3.0,snow,2022-02-04 02:48:03
73,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,7,1.99,clear sky,2022-02-04 02:51:06
74,Mao,ES,39.8885,4.2658,48.76,93,20,6.91,few clouds,2022-02-04 02:51:06
75,Catamarca,AR,-28.4696,-65.7852,75.04,74,1,6.98,clear sky,2022-02-04 02:51:07
76,Maneadero,MX,31.7167,-116.5667,55.09,66,0,1.99,clear sky,2022-02-04 02:51:07
77,Port Elizabeth,ZA,-33.918,25.5701,67.1,77,0,14.97,clear sky,2022-02-04 02:46:51
78,Ribeira Grande,PT,38.5167,-28.7,58.6,75,100,17.43,overcast clouds,2022-02-04 02:46:23
79,Kiruna,SE,67.8557,20.2251,-1.28,92,100,2.3,overcast clouds,2022-02-04 02:51:08
80,Tomatlan,MX,19.9333,-105.25,65.05,81,81,1.79,broken clouds,2022-02-04 02:51:08
81,Dayong,CN,25.0209,118.2898,55.08,89,100,2.13,overcast clouds,2022-02-04 02:51:08
82,Sisimiut,GL,66.9395,-53.6735,10.69,76,85,30.44,overcast clouds,2022-02-04 02:51:09
83,Northam,GB,51.0333,-4.2167,51.03,92,100,25.17,overcast clouds,2022-02-04 02:51:09
84,Taree,AU,-31.9,152.4667,73.33,68,40,16.11,scattered clouds,2022-02-04 02:51:09
85,Lebu,CL,-37.6167,-73.65,59.52,92,13,13.76,few clouds,2022-02-04 02:48:33
86,Thompson,CA,55.7435,-97.8558,-21.84,76,0,5.75,clear sky,2022-02-04 02:47:47
87,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,32.41,moderate rain,2022-02-04 02:46:38
88,Ilanskiy,RU,56.2358,96.065,4.42,88,100,5.99,overcast clouds,2022-02-04 02:51:10
89,Alofi,NU,-19.0595,-169.9187,79.3,78,100,18.88,light rain,2022-02-04 02:52:10
90,Coruripe,BR,-10.1256,-36.1756,78.06,75,69,9.46,broken clouds,2022-02-04 02:52:10
91,New Norfolk,AU,-42.7826,147.0587,71.65,34,3,3.0,clear sky,2022-02-04 02:50:54
92,Chokurdakh,RU,70.6333,147.9167,-27.18,100,67,0.94,broken clouds,2022-02-04 02:49:15
93,Paramonga,PE,-10.6667,-77.8333,71.1,82,66,8.03,broken clouds,2022-02-04 02:52:11
94,Hovd,MN,48.0056,91.6419,-5.89,81,22,2.13,few clouds,2022-02-04 02:51:39
95,Xichang,CN,27.8964,102.2634,43.18,89,94,2.64,overcast clouds,2022-02-04 02:52:12
96,Hobart,AU,-42.8794,147.3294,72.01,47,11,1.01,few clouds,2022-02-04 02:49:49
97,Sao Filipe,CV,14.8961,-24.4956,72.52,77,0,8.75,clear sky,2022-02-04 02:50:28
